"id","type","category","one_line_summary","depends_on","auth_type","transport","source","tier","license","license_flag","hermes_coupling","portability","suggested_use","rewrite_brief"
"github","skill","software-development","Routes end-to-end GitHub work (auth, issues, PR lifecycle, reviews, repo management) through the gh CLI into dedicated per-workflow reference docs.","gh CLI, git, GitHub account/authentication, bundled auth helper scripts, gh api for endpoints the CLI porcelain lacks","OAuth","N/A","skills/software-development/github/SKILL.md","builtin","MIT (repo)","","","HIGH","DEFAULT — GitHub via gh CLI is near-universal dev tooling with no Hermes-specific dependency.","Use for any GitHub task: auth setup, issue triage, the full PR lifecycle, carrying an issue to a verified merged PR, reviewing someone else's PR, or repo/release management.; Structured as a router: verify authentication first, then jump into the specific reference doc for the workflow at hand rather than one giant procedure.; Cross-cutting discipline: prefer the CLI's built-in commands over raw REST calls, read full comment threads before acting, search for existing duplicate issues/PRs before creating new ones.; Pitfall/verification rule: never report CI as green or a PR as merged from memory or assumption — always re-check live state before making that claim.; Ships with supporting templates and cheat-sheets for CI troubleshooting, commit-message conventions, and the raw API for cases the CLI doesn't cover."
"hermes-agent-skill-authoring","skill","software-development","Walks through authoring or editing an in-repo SKILL.md that ships with the Hermes Agent package, per the repo's strict review standards.","Hermes write_file/patch/search_files tools, the project's YAML frontmatter validator, the project's test runner, the project's docs-generation script","none","N/A","skills/software-development/hermes-agent-skill-authoring/SKILL.md","builtin","MIT (repo)","","skill_manage tool vs. write_file distinction, the repo's skill frontmatter validator module, in-repo skills/ and optional-skills/ trees vs. user-local ~/.hermes/skills/, the repo's docs generator script and sidebar file, the repo's per-skill test file convention","LOW","SKIP — entirely specific to authoring skills inside the Hermes Agent repository's own conventions; not applicable to another platform's skill/plugin format.","Use only when adding or editing a skill meant to ship inside the agent's own source repo, as opposed to a personal/local skill.; Procedure: decide bundled-vs-optional tier, pick/verify a category, survey peer skills, draft frontmatter under a strict description length limit with credited authorship and audited platform gating, keep the body concise with bulky material split into reference/template/script files, add tests, regenerate documentation with careful scope control before committing.; Key pitfalls: using the wrong tool for in-repo vs personal skill creation, trusting a lenient automated validator over the stricter human review bar, embedding machine-local file paths, expecting a running session to see a newly added skill without a restart.; Verification is a checklist: required frontmatter fields present and within limits, platform list matches actual dependencies used, every cross-referenced sibling skill actually exists, tests pass, documentation/sidebar entries added exactly once."
"inspecting-hermes-desktop-dom","skill","software-development","Reads the live DOM/CSS state of the running Hermes Electron desktop app over a local Chrome DevTools Protocol port instead of guessing from source.","Chrome DevTools Protocol, a running local dev build of the Electron desktop app, Node.js, curl, a bundled CDP client/eval script","none","N/A","skills/software-development/inspecting-hermes-desktop-dom/SKILL.md","builtin","MIT (repo)","","Hermes desktop app's dev-server CDP port and its enabling/disabling env vars, HERMES_HOME env var, the app's bundled eval script and shared CDP client library with named stable selectors, the desktop app's launch command","LOW","SKIP — explicitly scoped to debugging Hermes's own Electron desktop app's dev build; has no meaning outside that specific app.","Use only while developing the desktop app and a dev build is running, to answer factual DOM/CSS questions rather than inferring from source files.; First confirm the local debug protocol port is actually open before doing anything else; never assume or guess an alternate port.; Run small, targeted JavaScript snippets against the live page instead of dumping the entire DOM tree.; Pitfalls: never kill or relaunch the user's own running app/dev server to free a port — launch a separate isolated instance with its own port and data directory; a throwaway isolated instance has no working backend so some errors are expected; poll rather than checking only once right after launch; this only answers objective facts, not subjective quality judgments.; Verification: confirm the port responds to a handshake check, confirm the expected log line appeared, confirm a targeted query returns expected values from the correct window."
"node-inspect-debugger","skill","software-development","Covers driving Node.js's built-in V8 inspector or a scriptable CDP client from the terminal for breakpoint debugging and profiling.","Node.js built-in inspector (node inspect, --inspect/--inspect-brk), optionally an installable Chrome-remote-interface style npm package, curl, tsx for TypeScript, vitest/jest for test debugging","none","N/A","skills/software-development/node-inspect-debugger/SKILL.md","builtin","MIT (repo)","","Debugging recipes specific to the project's own Ink/React terminal UI and its gateway worker/PTY-bridge child processes, and the CLI command that launches the TUI","MEDIUM","OPTIONAL — the core Node inspector technique is generic and reusable, but a large share of worked examples target this project's own TUI/worker processes.","Use when console logging isn't enough for a Node.js issue — need real breakpoints, stepping, scope/stack inspection, or CPU/heap profiling.; Two approaches: the zero-install built-in CLI debugger for quick interactive poking, or a scriptable remote-debugging-protocol client for automating breakpoints or capturing state non-interactively.; Covers launching paused at start, attaching to an already-running process via a signal-triggered inspector, TypeScript sourcemap caveats, propagating the inspector into child processes, and scripting CPU-profile/heap-snapshot capture.; Pitfalls: breakpoints hit compiled JS rather than TypeScript source unless sourcemaps are followed; starting without a pause-on-entry flag lets execution race past early breakpoints; multiple debugged processes collide on the default port; a parent's inspector flag doesn't propagate to children; interactive stepping needs a PTY-capable terminal; never expose the inspector on a non-local network interface.; Verification: confirm exactly the intended process appears in the target list, confirm the first breakpoint actually halts execution, confirm the paused location matches expectations."
"python-debugpy","skill","software-development","Covers three escalating ways to debug Python — inline breakpoints/pdb, launching under pdb, and remote/attach debugging via debugpy or a socket-based alternative — for local and long-running processes.","Python stdlib pdb, debugpy (pip install), remote-pdb (pip install), netcat, the project's test runner","none","N/A","skills/software-development/python-debugpy/SKILL.md","builtin","MIT (repo)","","Debugging recipes specific to the project's own long-running gateway/worker/CLI processes, and a note that the project's captured-output test wrapper blocks interactive pdb (must invoke the underlying test runner directly)","MEDIUM","OPTIONAL — the core pdb/debugpy techniques are generic and portable, but several sections are written against this project's specific processes and test-runner wrapper.","Use for Python bugs where a traceback alone doesn't explain a bad value, for stepping through mutating state, or for inspecting/post-morteming a long-running process that can't simply be restarted.; Start with the cheapest option (an inline breakpoint), escalate to launching an existing script under the debugger with no source edits, and use a remote/attach debugger for long-lived or already-running processes.; Also documents post-mortem debugging of uncaught exceptions and notes the project's parallel/output-capturing test wrapper silently breaks interactive debugging — run the underlying test runner directly instead.; Pitfalls: an environment variable can silently disable all inline breakpoints; a leftover breakpoint in a non-interactive/CI context hangs the process; the debugger only follows the current thread, not forked children; attaching by PID can be blocked by OS security hardening; a sanitized test environment can hide bugs that depend on real credentials/config.; Verification: confirm the debugging library is installed and a listening port is open before attaching, confirm the first breakpoint hits and the call stack looks correct, grep for and remove any leftover debug statements before committing."
"requesting-code-review","skill","software-development","Runs a pre-commit verification pipeline — static security scan, baseline-aware tests/lint, and an independent reviewer sub-agent with an auto-fix loop — before code is committed.","git, the project's own test framework and linters (auto-detected per language), a multi-agent task-delegation capability for the independent reviewer and fixer roles","none","N/A","skills/software-development/requesting-code-review/SKILL.md","builtin","MIT (repo)","","delegate_task tool (including its toolsets parameter) used to spawn an independent reviewer and a separate fix-only agent, cross-references to companion TDD/subagent-workflow skills, a '[verified]' commit-message convention","MEDIUM","DEFAULT — a valuable quality gate; the static-scan and baseline-test portions are fully generic even where multi-agent delegation isn't available.","Use after implementing a change and before commit/push, especially when the user signals readiness to ship; skip for docs-only or trivial config edits.; Pull the diff, run pattern-based static scans for hardcoded secrets, injection risks, unsafe eval/exec, and unsafe deserialization, and run tests/linters compared against a pre-change baseline so only newly introduced failures count as blocking.; Hand the diff plus scan results — and nothing else — to a separate reviewer role with no shared context, instructed to fail closed on any finding or an unparseable diff.; On failure, dispatch a third, narrowly scoped fixer role that addresses only the listed issues, then re-run the whole pipeline, capping the loop at two rounds before escalating to the user.; Only commit once everything passes, marking the commit as independently reviewed.; Pitfalls: split oversized diffs by file; treat missing tooling/empty diffs as skip-not-fail; treat unparseable reviewer output as automatic failure; watch for the auto-fix loop introducing new regressions."
"simplify-code","skill","software-development","Fans out four parallel, narrowly focused reviewers (reuse, quality, efficiency, architectural altitude) over a diff and applies the resulting cleanup fixes by risk tier.","git, multi-agent task-delegation capability for the four parallel reviewers, the project's own test/lint tooling for post-fix verification","none","N/A","skills/software-development/simplify-code/SKILL.md","builtin","MIT (repo)","","delegate_task batch mode (parallel tasks array) with terminal/file/search toolsets and a stated concurrency budget, cross-reference to a companion subagent-driven-development skill","MEDIUM","OPTIONAL — powerful, token-heavy multi-agent cleanup pattern meant to be invoked deliberately, not run automatically after every edit.","Use only when explicitly asked to clean up/simplify recently changed code — a quality pass, not a correctness bug hunt — and never run automatically after routine edits.; Capture the relevant diff; if parallel delegation isn't available, work through the same four review angles sequentially instead of skipping coverage.; Run four reviewers concurrently: duplicated logic that should reuse existing utilities; general code-quality smells; efficiency issues (wasted work, missed concurrency, leaks, swallowed errors); and band-aid fixes applied at the wrong layer instead of the shared root cause — each required to cite concrete evidence and a confidence/risk rating.; Merge and deduplicate findings, resolve conflicts favoring correctness and the user's stated focus, then apply fixes in risk order: low-risk automatically, medium-risk one file at a time with test verification, high-risk flagged for human decision only.; Pitfalls: don't exceed four reviewers or split the diff between them; verify apparent 'band-aids' against version history before flagging as removable since some are deliberate compatibility shims.; Verification: re-run affected tests/linters after each fix, revert anything that breaks, summarize applied changes by category/risk tier."
"spike","skill","software-development","Structures disposable feasibility prototypes — decompose into risk-ordered questions, research briefly, build a minimal runnable demo, and record a validated/partial/invalidated verdict.","web search/doc-extraction tools for approach research, terminal, file-write access, optional multi-agent delegation for parallel comparison spikes","none","N/A","skills/software-development/spike/SKILL.md","builtin","MIT (repo)","","web_search/web_extract/write_file/delegate_task tool names, a reference to an optional third-party 'gsd-spike' sibling skill installable via an external npx package","HIGH","DEFAULT — the decompose/research/build/verdict spike methodology is a generic experimentation practice with only tool names being platform-specific.","Use when someone wants to validate feasibility or compare approaches before committing to real implementation, not for questions answerable from docs alone.; Break the idea into a small number of independent, falsifiable feasibility questions ordered so the riskiest runs first, confirm the plan with the user before building anything.; For each question, briefly research approaches, pick one (or build quick variants if several are credible), then build a minimal, throwaway, interactively runnable demo rather than stopping at an unverified log line — test beyond the happy path.; Close every spike with a written verdict covering what worked, what didn't, surprises, and a recommendation; head-to-head comparisons get a side-by-side table.; Pitfall: treating spike code as something to polish for production defeats its disposable purpose.; Verification is the verdict itself — a spike is complete only once it has produced actual observed evidence, not an untested happy-path assumption."
"systematic-debugging","skill","software-development","Enforces a four-phase root-cause-first debugging discipline — build a red/green repro loop, analyze patterns, test ranked hypotheses, then fix once — before any code change is allowed.","terminal (to run tests/repros), git, code-search/file-read tooling, optional multi-agent delegation for investigation-only sub-tasks","none","N/A","skills/software-development/systematic-debugging/SKILL.md","builtin","MIT (repo)","","search_files/read_file/terminal/web_search/web_extract/delegate_task tool names, cross-references to companion TDD and subagent-workflow skills","HIGH","DEFAULT — a pure, widely applicable debugging methodology with minimal platform-specific coupling.","Use for any technical bug, regression, performance issue, or build failure, especially under time pressure, to resist patching before understanding the cause.; Phase 1: read errors fully, build or find a tight, fast, deterministic reproduction; check recent changes; add boundary instrumentation to localize failure in multi-component systems.; Phase 2: shrink the reproduction to its minimal form one variable at a time, diff against a working/reference example to enumerate every difference.; Phase 3: generate several ranked, falsifiable hypotheses with explicit predictions, test only the top-ranked one with the smallest possible change, avoid stacking untested fixes.; Phase 4: write a regression test that reproduces the bug before fixing it, apply one root-cause fix at a time, verify against the full suite, apply a 'rule of three' — after three failed attempts, stop and question the underlying design.; Verification is the reproduction loop flipping from red to green plus a clean full-suite run with no new failures."
"test-driven-development","skill","software-development","Enforces strict test-first Red-Green-Refactor development, one small vertical behavior slice at a time, with no production code written ahead of its test.","the project's test runner (executed via a terminal tool), optional multi-agent delegation to enforce TDD discipline in dispatched implementation work","none","N/A","skills/software-development/test-driven-development/SKILL.md","builtin","MIT (repo)","","terminal tool invocation examples, delegate_task tool for enforcing TDD in a dispatched sub-task, cross-reference to a companion systematic-debugging skill","HIGH","DEFAULT — TDD is a universal, foundational software practice with essentially no platform-specific dependency.","Use for nearly all production code work with narrow, user-approved exceptions for throwaway prototypes, generated code, or plain config files.; Red: write one small test for a single behavior and actually run it to confirm it fails for the right reason before writing any implementation.; Green: write the minimal code needed to pass that one test — hardcoding or duplicating logic at this stage is acceptable and deferred.; Refactor: only once green, clean up duplication/naming/structure without changing behavior, re-running tests continuously and reverting immediately if a refactor breaks anything.; Explicitly rejects writing a batch of tests followed by a batch of implementation in favor of one vertical slice at a time, and treats production code written before its failing test as a violation requiring deletion and redo.; Verification checklist: every new function has a test, each test was observed failing for the right reason first, the full suite passes cleanly afterward, mocks are used only when a real dependency genuinely can't be exercised."
